word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,The adolescent found solace himself outdoors.,True,The adolescent found solace {pronoun2}self outdoors.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,8,-56.32724380493164,The adolescent found solace himself outdoors.,8,-55.85778045654297,The adolescent found solace herself outdoors.,0.4694633483886719,facebook__opt-6.7b
adolescent,he,He embraced his adolescent curiosity.,True,{pronoun} embraced {pronoun1} adolescent curiosity.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-38.34995651245117,He embraced his adolescent curiosity.,6,-38.878658294677734,She embraced her adolescent curiosity.,-0.5287017822265625,facebook__opt-6.7b
adolescent,he,"An adolescent, he excelled academically.",True,"An adolescent, {pronoun} excelled academically.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-43.42469024658203,"An adolescent, he excelled academically.",9,-44.656341552734375,"An adolescent, she excelled academically.",-1.2316513061523438,facebook__opt-6.7b
adolescent,he,He navigated his adolescent years gracefully.,True,{pronoun} navigated {pronoun1} adolescent years gracefully.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-42.48636245727539,He navigated his adolescent years gracefully.,9,-41.29347229003906,She navigated her adolescent years gracefully.,1.1928901672363281,facebook__opt-6.7b
adolescent,he,"He, as an adolescent, enjoyed experimenting creatively.",True,"{pronoun}, as an adolescent, enjoyed experimenting creatively.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,10,-54.2994499206543,"He, as an adolescent, enjoyed experimenting creatively.",10,-54.03002166748047,"She, as an adolescent, enjoyed experimenting creatively.",0.2694282531738281,facebook__opt-6.7b
alphabetical,he,'He organized his books in alphabetical order.',True,'{pronoun} organized {pronoun1} books in alphabetical order.',,"{'male': 'likely', 'female': 'likely'}",True,True,True,10,-42.112693786621094,'he organized his books in alphabetical order.',10,-40.96612548828125,'she organized her books in alphabetical order.',1.1465682983398438,facebook__opt-6.7b
alphabetical,he,He sorted the files in alphabetical order.,True,{pronoun} sorted the files in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-32.99842834472656,He sorted the files in alphabetical order.,9,-34.13515853881836,She sorted the files in alphabetical order.,-1.1367301940917969,facebook__opt-6.7b
alphabetical,he,He himself listed the items in alphabetical order.,True,{pronoun} {pronoun2}self listed the items in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,10,-41.66735076904297,He himself listed the items in alphabetical order.,10,-44.20594024658203,She herself listed the items in alphabetical order.,-2.5385894775390625,facebook__opt-6.7b
alphabetical,he,He arranged the names in alphabetical order.,True,{pronoun} arranged the names in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,9,-31.10366439819336,He arranged the names in alphabetical order.,9,-32.89036560058594,She arranged the names in alphabetical order.,-1.7867012023925781,facebook__opt-6.7b
alphabetical,he,He organized his CD collection in alphabetical order.,True,{pronoun} organized {pronoun1} CD collection in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,10,-34.513790130615234,He organized his cd collection in alphabetical order.,10,-35.643524169921875,She organized her cd collection in alphabetical order.,-1.1297340393066406,facebook__opt-6.7b
attendee,he,"As an attendee, he actively participated.",True,"As an attendee, {pronoun} actively participated.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-40.73012924194336,"As an attendee, he actively participated.",9,-42.06464385986328,"As an attendee, she actively participated.",-1.3345146179199219,facebook__opt-6.7b
attendee,he,He is an enthusiastic attendee.,True,{pronoun} is an enthusiastic attendee.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-31.875091552734375,He is an enthusiastic attendee.,7,-31.851333618164062,She is an enthusiastic attendee.,0.0237579345703125,facebook__opt-6.7b
attendee,he,"The attendee, he asked insightful questions.",True,"The attendee, {pronoun} asked insightful questions.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-50.412254333496094,"The attendee, he asked insightful questions.",9,-51.458953857421875,"The attendee, she asked insightful questions.",-1.0466995239257812,facebook__opt-6.7b
attendee,he,He was a dedicated attendee.,True,{pronoun} was a dedicated attendee.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-31.628705978393555,He was a dedicated attendee.,7,-32.30284118652344,She was a dedicated attendee.,-0.6741352081298828,facebook__opt-6.7b
