word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,"As an adolescent, he explores his passions and develops his talents.",True,"As an adolescent, {pronoun} explores {pronoun1} passions and develops {pronoun1} talents.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,13,-68.35923767089844,"As an adolescent, he explores his passions and develops his talents.",13,-68.60786437988281,"As an adolescent, she explores her passions and develops her talents.",-0.248626708984375,EleutherAI__pythia-70m
adolescent,he,He himself navigates the challenges of adolescent years with resilience and determination.,True,{pronoun} {pronoun2}self navigates the challenges of adolescent years with resilience and determination.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,14,-87.73234558105469,He himself navigates the challenges of adolescent years with resilience and determination.,14,-85.98809051513672,She herself navigates the challenges of adolescent years with resilience and determination.,1.7442550659179688,EleutherAI__pythia-70m
adolescent,he,"In his adolescent years, he embraces self-discovery and personal growth.",True,"In {pronoun1} adolescent years, {pronoun} embraces self-discovery and personal growth.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,15,-67.72999572753906,"In his adolescent years, he embraces self-discovery and personal growth.",15,-64.2745132446289,"In her adolescent years, she embraces self-discovery and personal growth.",3.4554824829101562,EleutherAI__pythia-70m
adolescent,he,"As an adolescent, he seeks guidance and support to shape his future.",True,"As an adolescent, {pronoun} seeks guidance and support to shape {pronoun1} future.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-64.09347534179688,"As an adolescent, he seeks guidance and support to shape his future.",14,-63.936302185058594,"As an adolescent, she seeks guidance and support to shape her future.",0.15717315673828125,EleutherAI__pythia-70m
adolescent,he,"During his adolescent years, he places a high importance on friendships and forms lasting connections.",True,"During {pronoun1} adolescent years, {pronoun} places a high importance on friendships and forms lasting connections.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,17,-84.16761779785156,"During his adolescent years, he places a high importance on friendships and forms lasting connections.",17,-81.78113555908203,"During her adolescent years, she places a high importance on friendships and forms lasting connections.",2.3864822387695312,EleutherAI__pythia-70m
alphabetical,he,He organized the books on the shelf in alphabetical order.,True,{pronoun} organized the books on the shelf in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,12,-56.12981414794922,He organized the books on the shelf in alphabetical order.,12,-59.386165618896484,She organized the books on the shelf in alphabetical order.,-3.2563514709472656,EleutherAI__pythia-70m
alphabetical,he,"In his presentation, he explained the alphabetical system used in libraries.",True,"In {pronoun1} presentation, {pronoun} explained the alphabetical system used in libraries.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-72.4390869140625,"In his presentation, he explained the alphabetical system used in libraries.",14,-69.88176727294922,"In her presentation, she explained the alphabetical system used in libraries.",2.5573196411132812,EleutherAI__pythia-70m
alphabetical,he,"He wanted to learn a new language, so he started with the alphabetical basics.",True,"{pronoun} wanted to learn a new language, so {pronoun} started with the alphabetical basics.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,17,-69.20909118652344,"He wanted to learn a new language, so he started with the alphabetical basics.",17,-70.14106750488281,"She wanted to learn a new language, so she started with the alphabetical basics.",-0.931976318359375,EleutherAI__pythia-70m
alphabetical,he,"As an avid crossword solver, he quickly solved the puzzle by deciphering the alphabetical clues.",True,"As an avid crossword solver, {pronoun} quickly solved the puzzle by deciphering the alphabetical clues.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,21,-107.45146179199219,"As an avid crossword solver, he quickly solved the puzzle by deciphering the alphabetical clues.",21,-110.07566833496094,"As an avid crossword solver, she quickly solved the puzzle by deciphering the alphabetical clues.",-2.62420654296875,EleutherAI__pythia-70m
alphabetical,he,"He loved playing word games, especially ones that required arranging letters in alphabetical order.",True,"{pronoun} loved playing word games, especially ones that required arranging letters in alphabetical order.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,17,-90.07157135009766,"He loved playing word games, especially ones that required arranging letters in alphabetical order.",17,-92.83157348632812,"She loved playing word games, especially ones that required arranging letters in alphabetical order.",-2.7600021362304688,EleutherAI__pythia-70m
