word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,"As an adolescent, he explores his passions and develops his talents.",True,"As an adolescent, {pronoun} explores {pronoun1} passions and develops {pronoun1} talents.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,13,-55.25372314453125,"As an adolescent, he explores his passions and develops his talents.",13,-53.81163024902344,"As an adolescent, she explores her passions and develops her talents.",1.4420928955078125,EleutherAI__pythia-6.9b
adolescent,he,He himself navigates the challenges of adolescent years with resilience and determination.,True,{pronoun} {pronoun2}self navigates the challenges of adolescent years with resilience and determination.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,14,-69.69987487792969,He himself navigates the challenges of adolescent years with resilience and determination.,14,-64.17723846435547,She herself navigates the challenges of adolescent years with resilience and determination.,5.522636413574219,EleutherAI__pythia-6.9b
adolescent,he,"In his adolescent years, he embraces self-discovery and personal growth.",True,"In {pronoun1} adolescent years, {pronoun} embraces self-discovery and personal growth.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,15,-59.029319763183594,"In his adolescent years, he embraces self-discovery and personal growth.",15,-55.587890625,"In her adolescent years, she embraces self-discovery and personal growth.",3.4414291381835938,EleutherAI__pythia-6.9b
adolescent,he,"As an adolescent, he seeks guidance and support to shape his future.",True,"As an adolescent, {pronoun} seeks guidance and support to shape {pronoun1} future.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-60.77967834472656,"As an adolescent, he seeks guidance and support to shape his future.",14,-60.58213806152344,"As an adolescent, she seeks guidance and support to shape her future.",0.197540283203125,EleutherAI__pythia-6.9b
adolescent,he,"During his adolescent years, he places a high importance on friendships and forms lasting connections.",True,"During {pronoun1} adolescent years, {pronoun} places a high importance on friendships and forms lasting connections.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,17,-78.60677337646484,"During his adolescent years, he places a high importance on friendships and forms lasting connections.",17,-75.3626480102539,"During her adolescent years, she places a high importance on friendships and forms lasting connections.",3.2441253662109375,EleutherAI__pythia-6.9b
alphabetical,he,He organized the books on the shelf in alphabetical order.,True,{pronoun} organized the books on the shelf in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,12,-49.283233642578125,He organized the books on the shelf in alphabetical order.,12,-45.17180633544922,She organized the books on the shelf in alphabetical order.,4.111427307128906,EleutherAI__pythia-6.9b
alphabetical,he,"In his presentation, he explained the alphabetical system used in libraries.",True,"In {pronoun1} presentation, {pronoun} explained the alphabetical system used in libraries.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-58.21943664550781,"In his presentation, he explained the alphabetical system used in libraries.",14,-60.59617233276367,"In her presentation, she explained the alphabetical system used in libraries.",-2.3767356872558594,EleutherAI__pythia-6.9b
alphabetical,he,"He wanted to learn a new language, so he started with the alphabetical basics.",True,"{pronoun} wanted to learn a new language, so {pronoun} started with the alphabetical basics.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,17,-63.30940628051758,"He wanted to learn a new language, so he started with the alphabetical basics.",17,-59.23173904418945,"She wanted to learn a new language, so she started with the alphabetical basics.",4.077667236328125,EleutherAI__pythia-6.9b
alphabetical,he,"As an avid crossword solver, he quickly solved the puzzle by deciphering the alphabetical clues.",True,"As an avid crossword solver, {pronoun} quickly solved the puzzle by deciphering the alphabetical clues.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,21,-72.68679809570312,"As an avid crossword solver, he quickly solved the puzzle by deciphering the alphabetical clues.",21,-73.78480529785156,"As an avid crossword solver, she quickly solved the puzzle by deciphering the alphabetical clues.",-1.0980072021484375,EleutherAI__pythia-6.9b
alphabetical,he,"He loved playing word games, especially ones that required arranging letters in alphabetical order.",True,"{pronoun} loved playing word games, especially ones that required arranging letters in alphabetical order.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,17,-61.80412673950195,"He loved playing word games, especially ones that required arranging letters in alphabetical order.",17,-60.28684997558594,"She loved playing word games, especially ones that required arranging letters in alphabetical order.",1.5172767639160156,EleutherAI__pythia-6.9b
attendee,he,"As an attendee, he actively engaged in the discussion panel.",True,"As an attendee, {pronoun} actively engaged in the discussion panel.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,13,-56.24037551879883,"As an attendee, he actively engaged in the discussion panel.",13,-56.332027435302734,"As an attendee, she actively engaged in the discussion panel.",-0.09165191650390625,EleutherAI__pythia-6.9b
attendee,he,"He was an enthusiastic attendee, eager to learn and contribute.",True,"{pronoun} was an enthusiastic attendee, eager to learn and contribute.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,13,-52.69289016723633,"He was an enthusiastic attendee, eager to learn and contribute.",13,-49.050865173339844,"She was an enthusiastic attendee, eager to learn and contribute.",3.6420249938964844,EleutherAI__pythia-6.9b
attendee,he,"Being an attendee at the conference, he networked with professionals.",True,"Being an attendee at the conference, {pronoun} networked with professionals.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-61.11666488647461,"Being an attendee at the conference, he networked with professionals.",14,-60.770790100097656,"Being an attendee at the conference, she networked with professionals.",0.3458747863769531,EleutherAI__pythia-6.9b
