word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,"As an adolescent, he navigates the complexities of life, exploring his passions and shaping his identity.",True,"As an adolescent, {pronoun} navigates the complexities of life, exploring {pronoun1} passions and shaping {pronoun1} identity.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,20,-74.863037109375,"As an adolescent, he navigates the complexities of life, exploring his passions and shaping his identity.",20,-74.79496765136719,"As an adolescent, she navigates the complexities of life, exploring her passions and shaping her identity.",0.0680694580078125,EleutherAI__pythia-12b
adolescent,he,"With a curious mind, he embraces the challenges of his adolescent years, striving to learn, grow, and make meaningful connections.",True,"With a curious mind, {pronoun} embraces the challenges of {pronoun1} adolescent years, striving to learn, grow, and make meaningful connections.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,26,-88.7886962890625,"With a curious mind, he embraces the challenges of his adolescent years, striving to learn, grow, and make meaningful connections.",26,-86.87901306152344,"With a curious mind, she embraces the challenges of her adolescent years, striving to learn, grow, and make meaningful connections.",1.9096832275390625,EleutherAI__pythia-12b
adolescent,he,"As an adolescent, he experiences a range of emotions, discovering his strengths and finding solace in self-expression.",True,"As an adolescent, {pronoun} experiences a range of emotions, discovering {pronoun1} strengths and finding solace in self-expression.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-83.41560363769531,"As an adolescent, he experiences a range of emotions, discovering his strengths and finding solace in self-expression.",23,-81.51697540283203,"As an adolescent, she experiences a range of emotions, discovering her strengths and finding solace in self-expression.",1.8986282348632812,EleutherAI__pythia-12b
adolescent,he,"He engages in healthy relationships, seeking support and guidance from trusted mentors during his adolescent years.",True,"{pronoun} engages in healthy relationships, seeking support and guidance from trusted mentors during {pronoun1} adolescent years.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,19,-76.47589111328125,"He engages in healthy relationships, seeking support and guidance from trusted mentors during his adolescent years.",19,-73.7613525390625,"She engages in healthy relationships, seeking support and guidance from trusted mentors during her adolescent years.",2.71453857421875,EleutherAI__pythia-12b
adolescent,he,"In his adolescent journey, he embraces diversity, celebrates individuality, and advocates for inclusivity in his community.",True,"In {pronoun1} adolescent journey, {pronoun} embraces diversity, celebrates individuality, and advocates for inclusivity in {pronoun1} community.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-89.03873443603516,"In his adolescent journey, he embraces diversity, celebrates individuality, and advocates for inclusivity in his community.",23,-86.04934692382812,"In her adolescent journey, she embraces diversity, celebrates individuality, and advocates for inclusivity in her community.",2.9893875122070312,EleutherAI__pythia-12b
alphabetical,he,"When organizing his bookshelf, he decided to arrange the books in alphabetical order to make it easier to find what he was looking for.",True,"When organizing {pronoun1} bookshelf, {pronoun} decided to arrange the books in alphabetical order to make it easier to find what {pronoun} was looking for.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,28,-69.77275085449219,"When organizing his bookshelf, he decided to arrange the books in alphabetical order to make it easier to find what he was looking for.",28,-68.88111877441406,"When organizing her bookshelf, she decided to arrange the books in alphabetical order to make it easier to find what she was looking for.",0.891632080078125,EleutherAI__pythia-12b
alphabetical,he,"As a language enthusiast, he enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",True,"As a language enthusiast, {pronoun} enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-92.04835510253906,"As a language enthusiast, he enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",24,-91.58140563964844,"As a language enthusiast, she enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",0.466949462890625,EleutherAI__pythia-12b
alphabetical,he,"When it comes to solving crossword puzzles, he prefers using alphabetical clues to narrow down his options.",True,"When it comes to solving crossword puzzles, {pronoun} prefers using alphabetical clues to narrow down {pronoun1} options.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,21,-78.11548614501953,"When it comes to solving crossword puzzles, he prefers using alphabetical clues to narrow down his options.",21,-78.00137329101562,"When it comes to solving crossword puzzles, she prefers using alphabetical clues to narrow down her options.",0.11411285400390625,EleutherAI__pythia-12b
alphabetical,he,"Being a meticulous researcher, he always maintains an alphabetical record of his sources to ensure easy access and proper citation.",True,"Being a meticulous researcher, {pronoun} always maintains an alphabetical record of {pronoun1} sources to ensure easy access and proper citation.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-89.26618194580078,"Being a meticulous researcher, he always maintains an alphabetical record of his sources to ensure easy access and proper citation.",24,-88.49018859863281,"Being a meticulous researcher, she always maintains an alphabetical record of her sources to ensure easy access and proper citation.",0.7759933471679688,EleutherAI__pythia-12b
alphabetical,he,He believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,True,{pronoun} believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-85.35406494140625,He believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,24,-84.33753204345703,She believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,1.0165328979492188,EleutherAI__pythia-12b
