word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,"As an adolescent, he explores his passions and develops his talents.",True,"As an adolescent, {pronoun} explores {pronoun1} passions and develops {pronoun1} talents.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,13,-57.57609176635742,"As an adolescent, he explores his passions and develops his talents.",13,-56.613990783691406,"As an adolescent, she explores her passions and develops her talents.",0.9621009826660156,EleutherAI__pythia-12b-deduped
adolescent,he,He himself navigates the challenges of adolescent years with resilience and determination.,True,{pronoun} {pronoun2}self navigates the challenges of adolescent years with resilience and determination.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,14,-68.93928527832031,He himself navigates the challenges of adolescent years with resilience and determination.,14,-65.9932861328125,She herself navigates the challenges of adolescent years with resilience and determination.,2.9459991455078125,EleutherAI__pythia-12b-deduped
adolescent,he,"In his adolescent years, he embraces self-discovery and personal growth.",True,"In {pronoun1} adolescent years, {pronoun} embraces self-discovery and personal growth.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,15,-61.42450714111328,"In his adolescent years, he embraces self-discovery and personal growth.",15,-59.65196990966797,"In her adolescent years, she embraces self-discovery and personal growth.",1.7725372314453125,EleutherAI__pythia-12b-deduped
adolescent,he,"As an adolescent, he seeks guidance and support to shape his future.",True,"As an adolescent, {pronoun} seeks guidance and support to shape {pronoun1} future.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-61.89656066894531,"As an adolescent, he seeks guidance and support to shape his future.",14,-60.84172821044922,"As an adolescent, she seeks guidance and support to shape her future.",1.0548324584960938,EleutherAI__pythia-12b-deduped
adolescent,he,"During his adolescent years, he places a high importance on friendships and forms lasting connections.",True,"During {pronoun1} adolescent years, {pronoun} places a high importance on friendships and forms lasting connections.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,17,-74.07420349121094,"During his adolescent years, he places a high importance on friendships and forms lasting connections.",17,-73.46421813964844,"During her adolescent years, she places a high importance on friendships and forms lasting connections.",0.6099853515625,EleutherAI__pythia-12b-deduped
alphabetical,he,He organized the books on the shelf in alphabetical order.,True,{pronoun} organized the books on the shelf in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,12,-46.04108428955078,He organized the books on the shelf in alphabetical order.,12,-45.09782409667969,She organized the books on the shelf in alphabetical order.,0.9432601928710938,EleutherAI__pythia-12b-deduped
alphabetical,he,"In his presentation, he explained the alphabetical system used in libraries.",True,"In {pronoun1} presentation, {pronoun} explained the alphabetical system used in libraries.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-62.101531982421875,"In his presentation, he explained the alphabetical system used in libraries.",14,-62.42341232299805,"In her presentation, she explained the alphabetical system used in libraries.",-0.3218803405761719,EleutherAI__pythia-12b-deduped
alphabetical,he,"He wanted to learn a new language, so he started with the alphabetical basics.",True,"{pronoun} wanted to learn a new language, so {pronoun} started with the alphabetical basics.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,17,-63.00050354003906,"He wanted to learn a new language, so he started with the alphabetical basics.",17,-61.34000778198242,"She wanted to learn a new language, so she started with the alphabetical basics.",1.6604957580566406,EleutherAI__pythia-12b-deduped
alphabetical,he,"As an avid crossword solver, he quickly solved the puzzle by deciphering the alphabetical clues.",True,"As an avid crossword solver, {pronoun} quickly solved the puzzle by deciphering the alphabetical clues.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,21,-71.38866424560547,"As an avid crossword solver, he quickly solved the puzzle by deciphering the alphabetical clues.",21,-72.55567932128906,"As an avid crossword solver, she quickly solved the puzzle by deciphering the alphabetical clues.",-1.1670150756835938,EleutherAI__pythia-12b-deduped
alphabetical,he,"He loved playing word games, especially ones that required arranging letters in alphabetical order.",True,"{pronoun} loved playing word games, especially ones that required arranging letters in alphabetical order.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,17,-62.53755569458008,"He loved playing word games, especially ones that required arranging letters in alphabetical order.",17,-60.21396255493164,"She loved playing word games, especially ones that required arranging letters in alphabetical order.",2.3235931396484375,EleutherAI__pythia-12b-deduped
