word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,"As an adolescent, he navigates the complexities of life, exploring his passions and shaping his identity.",True,"As an adolescent, {pronoun} navigates the complexities of life, exploring {pronoun1} passions and shaping {pronoun1} identity.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,20,-72.21501159667969,"As an adolescent, he navigates the complexities of life, exploring his passions and shaping his identity.",20,-71.48239135742188,"As an adolescent, she navigates the complexities of life, exploring her passions and shaping her identity.",0.7326202392578125,EleutherAI__gpt-j-6b
adolescent,he,"With a curious mind, he embraces the challenges of his adolescent years, striving to learn, grow, and make meaningful connections.",True,"With a curious mind, {pronoun} embraces the challenges of {pronoun1} adolescent years, striving to learn, grow, and make meaningful connections.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,25,-85.27923583984375,"With a curious mind, he embraces the challenges of his adolescent years, striving to learn, grow, and make meaningful connections.",25,-82.92074584960938,"With a curious mind, she embraces the challenges of her adolescent years, striving to learn, grow, and make meaningful connections.",2.358489990234375,EleutherAI__gpt-j-6b
adolescent,he,"As an adolescent, he experiences a range of emotions, discovering his strengths and finding solace in self-expression.",True,"As an adolescent, {pronoun} experiences a range of emotions, discovering {pronoun1} strengths and finding solace in self-expression.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-81.38545989990234,"As an adolescent, he experiences a range of emotions, discovering his strengths and finding solace in self-expression.",23,-79.62110900878906,"As an adolescent, she experiences a range of emotions, discovering her strengths and finding solace in self-expression.",1.7643508911132812,EleutherAI__gpt-j-6b
adolescent,he,"He engages in healthy relationships, seeking support and guidance from trusted mentors during his adolescent years.",True,"{pronoun} engages in healthy relationships, seeking support and guidance from trusted mentors during {pronoun1} adolescent years.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,18,-72.56047058105469,"He engages in healthy relationships, seeking support and guidance from trusted mentors during his adolescent years.",18,-72.0002212524414,"She engages in healthy relationships, seeking support and guidance from trusted mentors during her adolescent years.",0.5602493286132812,EleutherAI__gpt-j-6b
adolescent,he,"In his adolescent journey, he embraces diversity, celebrates individuality, and advocates for inclusivity in his community.",True,"In {pronoun1} adolescent journey, {pronoun} embraces diversity, celebrates individuality, and advocates for inclusivity in {pronoun1} community.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,22,-84.33988189697266,"In his adolescent journey, he embraces diversity, celebrates individuality, and advocates for inclusivity in his community.",22,-78.391357421875,"In her adolescent journey, she embraces diversity, celebrates individuality, and advocates for inclusivity in her community.",5.948524475097656,EleutherAI__gpt-j-6b
alphabetical,he,"When organizing his bookshelf, he decided to arrange the books in alphabetical order to make it easier to find what he was looking for.",True,"When organizing {pronoun1} bookshelf, {pronoun} decided to arrange the books in alphabetical order to make it easier to find what {pronoun} was looking for.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,29,-63.467063903808594,"When organizing his bookshelf, he decided to arrange the books in alphabetical order to make it easier to find what he was looking for.",29,-62.01127243041992,"When organizing her bookshelf, she decided to arrange the books in alphabetical order to make it easier to find what she was looking for.",1.4557914733886719,EleutherAI__gpt-j-6b
alphabetical,he,"As a language enthusiast, he enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",True,"As a language enthusiast, {pronoun} enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-84.8697280883789,"As a language enthusiast, he enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",23,-85.52664184570312,"As a language enthusiast, she enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",-0.6569137573242188,EleutherAI__gpt-j-6b
alphabetical,he,"When it comes to solving crossword puzzles, he prefers using alphabetical clues to narrow down his options.",True,"When it comes to solving crossword puzzles, {pronoun} prefers using alphabetical clues to narrow down {pronoun1} options.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,21,-69.62631225585938,"When it comes to solving crossword puzzles, he prefers using alphabetical clues to narrow down his options.",21,-70.66436767578125,"When it comes to solving crossword puzzles, she prefers using alphabetical clues to narrow down her options.",-1.038055419921875,EleutherAI__gpt-j-6b
alphabetical,he,"Being a meticulous researcher, he always maintains an alphabetical record of his sources to ensure easy access and proper citation.",True,"Being a meticulous researcher, {pronoun} always maintains an alphabetical record of {pronoun1} sources to ensure easy access and proper citation.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-84.38845825195312,"Being a meticulous researcher, he always maintains an alphabetical record of his sources to ensure easy access and proper citation.",23,-84.18016052246094,"Being a meticulous researcher, she always maintains an alphabetical record of her sources to ensure easy access and proper citation.",0.2082977294921875,EleutherAI__gpt-j-6b
alphabetical,he,He believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,True,{pronoun} believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-84.25599670410156,He believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,24,-83.3877182006836,She believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,0.8682785034179688,EleutherAI__gpt-j-6b
