word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,The adolescent found solace himself outdoors.,True,The adolescent found solace {pronoun2}self outdoors.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,8,-60.266334533691406,The adolescent found solace himself outdoors.,8,-62.635986328125,The adolescent found solace herself outdoors.,-2.3696517944335938,EleutherAI__pythia-70m-deduped
adolescent,he,He embraced his adolescent curiosity.,True,{pronoun} embraced {pronoun1} adolescent curiosity.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,6,-47.16741943359375,He embraced his adolescent curiosity.,6,-46.12251281738281,She embraced her adolescent curiosity.,1.0449066162109375,EleutherAI__pythia-70m-deduped
adolescent,he,"An adolescent, he excelled academically.",True,"An adolescent, {pronoun} excelled academically.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-50.88887405395508,"An adolescent, he excelled academically.",9,-51.695037841796875,"An adolescent, she excelled academically.",-0.8061637878417969,EleutherAI__pythia-70m-deduped
adolescent,he,He navigated his adolescent years gracefully.,True,{pronoun} navigated {pronoun1} adolescent years gracefully.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-65.0497817993164,He navigated his adolescent years gracefully.,9,-64.42338562011719,She navigated her adolescent years gracefully.,0.6263961791992188,EleutherAI__pythia-70m-deduped
adolescent,he,"He, as an adolescent, enjoyed experimenting creatively.",True,"{pronoun}, as an adolescent, enjoyed experimenting creatively.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,11,-63.45874786376953,"He, as an adolescent, enjoyed experimenting creatively.",11,-62.8748664855957,"She, as an adolescent, enjoyed experimenting creatively.",0.5838813781738281,EleutherAI__pythia-70m-deduped
alphabetical,he,'He organized his books in alphabetical order.',True,'{pronoun} organized {pronoun1} books in alphabetical order.',,"{'male': 'likely', 'female': 'likely'}",True,True,True,10,-53.493324279785156,'he organized his books in alphabetical order.',10,-60.896034240722656,'she organized her books in alphabetical order.',-7.4027099609375,EleutherAI__pythia-70m-deduped
alphabetical,he,He sorted the files in alphabetical order.,True,{pronoun} sorted the files in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-44.05699157714844,He sorted the files in alphabetical order.,9,-42.72803497314453,She sorted the files in alphabetical order.,1.3289566040039062,EleutherAI__pythia-70m-deduped
alphabetical,he,He himself listed the items in alphabetical order.,True,{pronoun} {pronoun2}self listed the items in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,10,-47.24739456176758,He himself listed the items in alphabetical order.,10,-47.61058807373047,She herself listed the items in alphabetical order.,-0.3631935119628906,EleutherAI__pythia-70m-deduped
alphabetical,he,He arranged the names in alphabetical order.,True,{pronoun} arranged the names in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,9,-44.28085708618164,He arranged the names in alphabetical order.,9,-42.036739349365234,She arranged the names in alphabetical order.,2.2441177368164062,EleutherAI__pythia-70m-deduped
alphabetical,he,He organized his CD collection in alphabetical order.,True,{pronoun} organized {pronoun1} CD collection in alphabetical order.,,"{'male': 'likely', 'female': 'likely'}",True,True,True,10,-64.5008773803711,He organized his cd collection in alphabetical order.,10,-61.21442413330078,She organized her cd collection in alphabetical order.,3.2864532470703125,EleutherAI__pythia-70m-deduped
attendee,he,"As an attendee, he actively participated.",True,"As an attendee, {pronoun} actively participated.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,9,-47.61048889160156,"As an attendee, he actively participated.",9,-47.97014617919922,"As an attendee, she actively participated.",-0.35965728759765625,EleutherAI__pythia-70m-deduped
attendee,he,He is an enthusiastic attendee.,True,{pronoun} is an enthusiastic attendee.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-37.96652603149414,He is an enthusiastic attendee.,7,-37.92851257324219,She is an enthusiastic attendee.,0.038013458251953125,EleutherAI__pythia-70m-deduped
attendee,he,"The attendee, he asked insightful questions.",True,"The attendee, {pronoun} asked insightful questions.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,9,-51.130367279052734,"The attendee, he asked insightful questions.",9,-50.65967559814453,"The attendee, she asked insightful questions.",0.4706916809082031,EleutherAI__pythia-70m-deduped
attendee,he,He was a dedicated attendee.,True,{pronoun} was a dedicated attendee.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,7,-37.03925704956055,He was a dedicated attendee.,7,-36.736881256103516,She was a dedicated attendee.,0.30237579345703125,EleutherAI__pythia-70m-deduped
attendee,he,"As an attendee, he engaged enthusiastically.",True,"As an attendee, {pronoun} engaged enthusiastically.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,10,-54.58139419555664,"As an attendee, he engaged enthusiastically.",10,-54.74987030029297,"As an attendee, she engaged enthusiastically.",-0.16847610473632812,EleutherAI__pythia-70m-deduped
barbaric,he,He found the barbaric ritual intriguing.,True,{pronoun} found the barbaric ritual intriguing.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,8,-59.484046936035156,He found the barbaric ritual intriguing.,8,-59.40182113647461,She found the barbaric ritual intriguing.,0.08222579956054688,EleutherAI__pythia-70m-deduped
barbaric,he,"Despite his gentle nature, he witnessed the barbaric act in horror.",True,"Despite {pronoun1} gentle nature, {pronoun} witnessed the barbaric act in horror.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,14,-75.0951919555664,"Despite his gentle nature, he witnessed the barbaric act in horror.",14,-75.58848571777344,"Despite her gentle nature, she witnessed the barbaric act in horror.",-0.49329376220703125,EleutherAI__pythia-70m-deduped
